Brand,Units,State,Price
Burger King,4,Alabama,1.19
Burger King,10,Alabama,2.99
Burger King,20,Alabama,4.99
Burger King,4,Alaska,1.45
Burger King,10,Alaska,3.65
Burger King,20,Alaska,6.09
Burger King,4,Arizona,1.32
Burger King,10,Arizona,3.32
Burger King,20,Arizona,5.54
Burger King,4,Arkansas,1.18
Burger King,10,Arkansas,2.96
Burger King,20,Arkansas,4.94
Burger King,4,California,1.52
Burger King,10,California,3.83
Burger King,20,California,6.39
Burger King,4,Colorado,1.37
Burger King,10,Colorado,3.44
Burger King,20,Colorado,5.74
Burger King,4,Connecticut,1.48
Burger King,10,Connecticut,3.71
Burger King,20,Connecticut,6.19
Burger King,4,Delaware,1.38
Burger King,10,Delaware,3.47
Burger King,20,Delaware,5.79
Burger King,4,District of Columbia,1.59
Burger King,10,District of Columbia,4.01
Burger King,20,District of Columbia,6.69
Burger King,4,Florida,1.33
Burger King,10,Florida,3.35
Burger King,20,Florida,5.59
Burger King,4,Georgia,1.24
Burger King,10,Georgia,3.11
Burger King,20,Georgia,5.19
Burger King,4,Hawaii,1.58
Burger King,10,Hawaii,3.98
Burger King,20,Hawaii,6.64
Burger King,4,Idaho,1.26
Burger King,10,Idaho,3.17
Burger King,20,Idaho,5.29
Burger King,4,Illinois,1.36
Burger King,10,Illinois,3.41
Burger King,20,Illinois,5.69
Burger King,4,Indiana,1.23
Burger King,10,Indiana,3.08
Burger King,20,Indiana,5.14
Burger King,4,Iowa,1.21
Burger King,10,Iowa,3.05
Burger King,20,Iowa,5.09
Burger King,4,Kansas,1.21
Burger King,10,Kansas,3.05
Burger King,20,Kansas,5.09
Burger King,4,Kentucky,1.2
Burger King,10,Kentucky,3.02
Burger King,20,Kentucky,5.04
Burger King,4,Louisiana,1.24
Burger King,10,Louisiana,3.11
Burger King,20,Louisiana,5.19
Burger King,4,Maine,1.33
Burger King,10,Maine,3.35
Burger King,20,Maine,5.59
Burger King,4,Maryland,1.5
Burger King,10,Maryland,3.77
Burger King,20,Maryland,6.29
Burger King,4,Massachusetts,1.45
Burger King,10,Massachusetts,3.65
Burger King,20,Massachusetts,6.09
Burger King,4,Michigan,1.27
Burger King,10,Michigan,3.2
Burger King,20,Michigan,5.34
Burger King,4,Minnesota,1.32
Burger King,10,Minnesota,3.32
Burger King,20,Minnesota,5.54
Burger King,4,Mississippi,1.17
Burger King,10,Mississippi,2.93
Burger King,20,Mississippi,4.89
Burger King,4,Missouri,1.19
Burger King,10,Missouri,2.99
Burger King,20,Missouri,4.99
Burger King,4,Montana,1.27
Burger King,10,Montana,3.2
Burger King,20,Montana,5.34
Burger King,4,Nebraska,1.21
Burger King,10,Nebraska,3.05
Burger King,20,Nebraska,5.09
Burger King,4,Nevada,1.32
Burger King,10,Nevada,3.32
Burger King,20,Nevada,5.54
Burger King,4,New Hampshire,1.44
Burger King,10,New Hampshire,3.62
Burger King,20,New Hampshire,6.04
Burger King,4,New Jersey,1.55
Burger King,10,New Jersey,3.89
Burger King,20,New Jersey,6.49
Burger King,4,New Mexico,1.29
Burger King,10,New Mexico,3.23
Burger King,20,New Mexico,5.39
Burger King,4,New York,1.56
Burger King,10,New York,3.92
Burger King,20,New York,6.54
Burger King,4,North Carolina,1.24
Burger King,10,North Carolina,3.11
Burger King,20,North Carolina,5.19
Burger King,4,North Dakota,1.23
Burger King,10,North Dakota,3.08
Burger King,20,North Dakota,5.14
Burger King,4,Ohio,1.2
Burger King,10,Ohio,3.02
Burger King,20,Ohio,5.04
Burger King,4,Oklahoma,1.21
Burger King,10,Oklahoma,3.05
Burger King,20,Oklahoma,5.09
Burger King,4,Oregon,1.33
Burger King,10,Oregon,3.35
Burger King,20,Oregon,5.59
Burger King,4,Pennsylvania,1.33
Burger King,10,Pennsylvania,3.35
Burger King,20,Pennsylvania,5.59
Burger King,4,Rhode Island,1.33
Burger King,10,Rhode Island,3.35
Burger King,20,Rhode Island,5.59
Burger King,4,South Carolina,1.23
Burger King,10,South Carolina,3.08
Burger King,20,South Carolina,5.14
Burger King,4,South Dakota,1.19
Burger King,10,South Dakota,2.99
Burger King,20,South Dakota,4.99
Burger King,4,Tennessee,1.23
Burger King,10,Tennessee,3.08
Burger King,20,Tennessee,5.14
Burger King,4,Texas,1.31
Burger King,10,Texas,3.29
Burger King,20,Texas,5.49
Burger King,4,Utah,1.31
Burger King,10,Utah,3.29
Burger King,20,Utah,5.49
Burger King,4,Vermont,1.37
Burger King,10,Vermont,3.44
Burger King,20,Vermont,5.74
Burger King,4,Virginia,1.39
Burger King,10,Virginia,3.5
Burger King,20,Virginia,5.84
Burger King,4,Washington,1.39
Burger King,10,Washington,3.5
Burger King,20,Washington,5.84
Burger King,4,West Virginia,1.2
Burger King,10,West Virginia,3.02
Burger King,20,West Virginia,5.04
Burger King,4,Wisconsin,1.25
Burger King,10,Wisconsin,3.14
Burger King,20,Wisconsin,5.24
Burger King,4,Wyoming,1.3
Burger King,10,Wyoming,3.26
Burger King,20,Wyoming,5.44
