Brand,Units,State,Price
McDonald's,4,Alabama,1.99
McDonald's,10,Alabama,4.49
McDonald's,20,Alabama,5
McDonald's,40,Alabama,8.99
McDonald's,4,Alaska,2.43
McDonald's,10,Alaska,5.48
McDonald's,20,Alaska,6.1
McDonald's,40,Alaska,10.97
McDonald's,4,Arizona,2.21
McDonald's,10,Arizona,4.98
McDonald's,20,Arizona,5.55
McDonald's,40,Arizona,9.98
McDonald's,4,Arkansas,3.26
McDonald's,10,Arkansas,4.45
McDonald's,20,Arkansas,6.43
McDonald's,40,Arkansas,8.9
McDonald's,4,California,2.55
McDonald's,10,California,5.75
McDonald's,20,California,6.4
McDonald's,40,California,11.51
McDonald's,4,Colorado,2.29
McDonald's,10,Colorado,5.16
McDonald's,20,Colorado,5.75
McDonald's,40,Colorado,10.34
McDonald's,4,Connecticut,2.47
McDonald's,10,Connecticut,5.57
McDonald's,20,Connecticut,6.2
McDonald's,40,Connecticut,11.15
McDonald's,4,Delaware,2.31
McDonald's,10,Delaware,5.21
McDonald's,20,Delaware,5.8
McDonald's,40,Delaware,10.43
McDonald's,4,District of Columbia,2.67
McDonald's,10,District of Columbia,6.02
McDonald's,20,District of Columbia,6.7
McDonald's,40,District of Columbia,12.05
McDonald's,4,Florida,2.23
McDonald's,10,Florida,5.03
McDonald's,20,Florida,5.6
McDonald's,40,Florida,10.07
McDonald's,4,Georgia,2.07
McDonald's,10,Georgia,4.67
McDonald's,20,Georgia,5.2
McDonald's,40,Georgia,9.35
McDonald's,4,Hawaii,2.65
McDonald's,10,Hawaii,5.97
McDonald's,20,Hawaii,6.65
McDonald's,40,Hawaii,11.96
McDonald's,4,Idaho,2.11
McDonald's,10,Idaho,4.76
McDonald's,20,Idaho,5.3
McDonald's,40,Idaho,9.53
McDonald's,4,Illinois,2.27
McDonald's,10,Illinois,5.12
McDonald's,20,Illinois,5.7
McDonald's,40,Illinois,10.25
McDonald's,4,Indiana,2.05
McDonald's,10,Indiana,4.62
McDonald's,20,Indiana,5.15
McDonald's,40,Indiana,9.26
McDonald's,4,Iowa,2.03
McDonald's,10,Iowa,4.58
McDonald's,20,Iowa,5.1
McDonald's,40,Iowa,9.17
McDonald's,4,Kansas,2.03
McDonald's,10,Kansas,4.58
McDonald's,20,Kansas,5.1
McDonald's,40,Kansas,9.17
McDonald's,4,Kentucky,2.01
McDonald's,10,Kentucky,4.53
McDonald's,20,Kentucky,5.05
McDonald's,40,Kentucky,9.08
McDonald's,4,Louisiana,2.07
McDonald's,10,Louisiana,4.67
McDonald's,20,Louisiana,5.2
McDonald's,40,Louisiana,9.35
McDonald's,4,Maine,2.23
McDonald's,10,Maine,5.03
McDonald's,20,Maine,5.6
McDonald's,40,Maine,10.07
McDonald's,4,Maryland,2.51
McDonald's,10,Maryland,5.66
McDonald's,20,Maryland,6.3
McDonald's,40,Maryland,11.33
McDonald's,4,Massachusetts,2.43
McDonald's,10,Massachusetts,5.48
McDonald's,20,Massachusetts,6.1
McDonald's,40,Massachusetts,10.97
McDonald's,4,Michigan,2.13
McDonald's,10,Michigan,4.8
McDonald's,20,Michigan,5.35
McDonald's,40,Michigan,9.62
McDonald's,4,Minnesota,2.21
McDonald's,10,Minnesota,4.98
McDonald's,20,Minnesota,5.55
McDonald's,40,Minnesota,9.98
McDonald's,4,Mississippi,1.95
McDonald's,10,Mississippi,4.4
McDonald's,20,Mississippi,4.9
McDonald's,40,Mississippi,8.81
McDonald's,4,Missouri,1.99
McDonald's,10,Missouri,4.49
McDonald's,20,Missouri,5
McDonald's,40,Missouri,8.99
McDonald's,4,Montana,2.13
McDonald's,10,Montana,4.8
McDonald's,20,Montana,5.35
McDonald's,40,Montana,9.62
McDonald's,4,Nebraska,2.03
McDonald's,10,Nebraska,4.58
McDonald's,20,Nebraska,5.1
McDonald's,40,Nebraska,9.17
McDonald's,4,Nevada,2.21
McDonald's,10,Nevada,4.98
McDonald's,20,Nevada,5.55
McDonald's,40,Nevada,9.98
McDonald's,4,New Hampshire,2.41
McDonald's,10,New Hampshire,5.43
McDonald's,20,New Hampshire,6.05
McDonald's,40,New Hampshire,10.88
McDonald's,4,New Jersey,2.59
McDonald's,10,New Jersey,5.84
McDonald's,20,New Jersey,6.5
McDonald's,40,New Jersey,11.69
McDonald's,4,New Mexico,2.15
McDonald's,10,New Mexico,4.85
McDonald's,20,New Mexico,5.4
McDonald's,40,New Mexico,9.71
McDonald's,4,New York,2.61
McDonald's,10,New York,5.88
McDonald's,20,New York,6.55
McDonald's,40,New York,11.78
McDonald's,4,North Carolina,2.07
McDonald's,10,North Carolina,4.67
McDonald's,20,North Carolina,5.2
McDonald's,40,North Carolina,9.35
McDonald's,4,North Dakota,2.05
McDonald's,10,North Dakota,4.62
McDonald's,20,North Dakota,5.15
McDonald's,40,North Dakota,9.26
McDonald's,4,Ohio,2.01
McDonald's,10,Ohio,4.53
McDonald's,20,Ohio,5.05
McDonald's,40,Ohio,9.08
McDonald's,4,Oklahoma,2.03
McDonald's,10,Oklahoma,4.58
McDonald's,20,Oklahoma,5.1
McDonald's,40,Oklahoma,9.17
McDonald's,4,Oregon,2.23
McDonald's,10,Oregon,5.03
McDonald's,20,Oregon,5.6
McDonald's,40,Oregon,10.07
McDonald's,4,Pennsylvania,2.23
McDonald's,10,Pennsylvania,5.03
McDonald's,20,Pennsylvania,5.6
McDonald's,40,Pennsylvania,10.07
McDonald's,4,Rhode Island,2.23
McDonald's,10,Rhode Island,5.03
McDonald's,20,Rhode Island,5.6
McDonald's,40,Rhode Island,10.07
McDonald's,4,South Carolina,2.05
McDonald's,10,South Carolina,4.62
McDonald's,20,South Carolina,5.15
McDonald's,40,South Carolina,9.26
McDonald's,4,South Dakota,1.99
McDonald's,10,South Dakota,4.49
McDonald's,20,South Dakota,5
McDonald's,40,South Dakota,8.99
McDonald's,4,Tennessee,2.05
McDonald's,10,Tennessee,4.62
McDonald's,20,Tennessee,5.15
McDonald's,40,Tennessee,9.26
McDonald's,4,Texas,2.19
McDonald's,10,Texas,4.94
McDonald's,20,Texas,5.5
McDonald's,40,Texas,9.89
McDonald's,4,Utah,2.19
McDonald's,10,Utah,4.94
McDonald's,20,Utah,5.5
McDonald's,40,Utah,9.89
McDonald's,4,Vermont,2.29
McDonald's,10,Vermont,5.16
McDonald's,20,Vermont,5.75
McDonald's,40,Vermont,10.34
McDonald's,4,Virginia,2.33
McDonald's,10,Virginia,5.25
McDonald's,20,Virginia,5.85
McDonald's,40,Virginia,10.52
McDonald's,4,Washington,2.33
McDonald's,10,Washington,5.25
McDonald's,20,Washington,5.85
McDonald's,40,Washington,10.52
McDonald's,4,West Virginia,2.01
McDonald's,10,West Virginia,4.53
McDonald's,20,West Virginia,5.05
McDonald's,40,West Virginia,9.08
McDonald's,4,Wisconsin,2.09
McDonald's,10,Wisconsin,4.71
McDonald's,20,Wisconsin,5.25
McDonald's,40,Wisconsin,9.44
McDonald's,4,Wyoming,2.18
McDonald's,10,Wyoming,4.89
McDonald's,20,Wyoming,5.45
McDonald's,40,Wyoming,9.8
