State,Brand,Unit,Price
Alabama,Burger King,4,1.19
Alabama,Burger King,10,2.99
Alabama,Burger King,20,4.99
Alabama,Chick-fil-A,8,3.05
Alabama,Chick-fil-A,12,4.45
Alabama,McDonald's,4,1.99
Alabama,McDonald's,10,4.49
Alabama,McDonald's,20,5
Alabama,McDonald's,40,8.99
Alaska,Burger King,4,1.45
Alaska,Burger King,10,3.65
Alaska,Burger King,20,6.09
Alaska,Chick-fil-A,8,3.72
Alaska,Chick-fil-A,12,5.43
Alaska,McDonald's,4,2.43
Alaska,McDonald's,10,5.48
Alaska,McDonald's,20,6.1
Alaska,McDonald's,40,10.97
Arizona,Burger King,4,1.32
Arizona,Burger King,10,3.32
Arizona,Burger King,20,5.54
Arizona,Chick-fil-A,8,3.39
Arizona,Chick-fil-A,12,4.94
Arizona,McDonald's,4,2.21
Arizona,McDonald's,10,4.98
Arizona,McDonald's,20,5.55
Arizona,McDonald's,40,9.98
Arkansas,Burger King,4,1.18
Arkansas,Burger King,10,2.96
Arkansas,Burger King,20,4.94
Arkansas,Chick-fil-A,8,3.02
Arkansas,Chick-fil-A,12,4.41
Arkansas,McDonald's,4,3.26
Arkansas,McDonald's,10,4.45
Arkansas,McDonald's,20,6.43
Arkansas,McDonald's,40,8.9
California,Burger King,4,1.52
California,Burger King,10,3.83
California,Burger King,20,6.39
California,Chick-fil-A,8,3.9
California,Chick-fil-A,12,5.7
California,McDonald's,4,2.55
California,McDonald's,10,5.75
California,McDonald's,20,6.4
California,McDonald's,40,11.51
Colorado,Burger King,4,1.37
Colorado,Burger King,10,3.44
Colorado,Burger King,20,5.74
Colorado,Chick-fil-A,8,3.51
Colorado,Chick-fil-A,12,5.12
Colorado,McDonald's,4,2.29
Colorado,McDonald's,10,5.16
Colorado,McDonald's,20,5.75
Colorado,McDonald's,40,10.34
Connecticut,Burger King,4,1.48
Connecticut,Burger King,10,3.71
Connecticut,Burger King,20,6.19
Connecticut,Chick-fil-A,8,3.78
Connecticut,Chick-fil-A,12,5.52
Connecticut,McDonald's,4,2.47
Connecticut,McDonald's,10,5.57
Connecticut,McDonald's,20,6.2
Connecticut,McDonald's,40,11.15
Delaware,Burger King,4,1.38
Delaware,Burger King,10,3.47
Delaware,Burger King,20,5.79
Delaware,Chick-fil-A,8,3.54
Delaware,Chick-fil-A,12,5.16
Delaware,McDonald's,4,2.31
Delaware,McDonald's,10,5.21
Delaware,McDonald's,20,5.8
Delaware,McDonald's,40,10.43
District of Columbia,Burger King,4,1.59
District of Columbia,Burger King,10,4.01
District of Columbia,Burger King,20,6.69
District of Columbia,Chick-fil-A,8,4.09
District of Columbia,Chick-fil-A,12,5.96
District of Columbia,McDonald's,4,2.67
District of Columbia,McDonald's,10,6.02
District of Columbia,McDonald's,20,6.7
District of Columbia,McDonald's,40,12.05
Florida,Burger King,4,1.33
Florida,Burger King,10,3.35
Florida,Burger King,20,5.59
Florida,Chick-fil-A,8,3.42
Florida,Chick-fil-A,12,4.98
Florida,McDonald's,4,2.23
Florida,McDonald's,10,5.03
Florida,McDonald's,20,5.6
Florida,McDonald's,40,10.07
Georgia,Burger King,4,1.24
Georgia,Burger King,10,3.11
Georgia,Burger King,20,5.19
Georgia,Chick-fil-A,8,3.17
Georgia,Chick-fil-A,12,4.63
Georgia,McDonald's,4,2.07
Georgia,McDonald's,10,4.67
Georgia,McDonald's,20,5.2
Georgia,McDonald's,40,9.35
Hawaii,Burger King,4,1.58
Hawaii,Burger King,10,3.98
Hawaii,Burger King,20,6.64
Hawaii,Chick-fil-A,8,4.06
Hawaii,Chick-fil-A,12,5.92
Hawaii,McDonald's,4,2.65
Hawaii,McDonald's,10,5.97
Hawaii,McDonald's,20,6.65
Hawaii,McDonald's,40,11.96
Idaho,Burger King,4,1.26
Idaho,Burger King,10,3.17
Idaho,Burger King,20,5.29
Idaho,Chick-fil-A,8,3.23
Idaho,Chick-fil-A,12,4.72
Idaho,McDonald's,4,2.11
Idaho,McDonald's,10,4.76
Idaho,McDonald's,20,5.3
Idaho,McDonald's,40,9.53
Illinois,Burger King,4,1.36
Illinois,Burger King,10,3.41
Illinois,Burger King,20,5.69
Illinois,Chick-fil-A,8,3.48
Illinois,Chick-fil-A,12,5.07
Illinois,McDonald's,4,2.27
Illinois,McDonald's,10,5.12
Illinois,McDonald's,20,5.7
Illinois,McDonald's,40,10.25
Indiana,Burger King,4,1.23
Indiana,Burger King,10,3.08
Indiana,Burger King,20,5.14
Indiana,Chick-fil-A,8,3.14
